dep;nb_inscrits;nb_votants;nb_exprimes;nbvoix_1;nbvoix_2;participation;voix_1;voix_2
01;415886;334379;325799;73692;81455;80.40160044;22.61885396;25.00161142
02;375752;295569;288140;51680;102770;78.66065916;17.93572569;35.6666898
03;253508;199233;192460;45651;43004;78.59041924;23.71973397;22.34438325
04;126578;102255;99714;19960;24463;80.78418051;20.01724933;24.53316485
05;109907;89086;86927;18948;18474;81.05580172;21.79760029;21.25231516
06;761761;599858;587932;111953;163141;78.74622093;19.04182797;27.74827701
07;249258;202640;195556;42320;45305;81.29729036;21.64085991;23.16727689
08;194379;150303;146803;26912;47578;77.324711;18.33205043;32.40941943
09;117409;96017;93306;19523;20247;81.77993169;20.92362763;21.69956916
10;203847;164896;161068;30565;48846;80.89204158;18.97645715;30.3263218
11;272695;220142;214361;43015;60585;80.72828618;20.0666166;28.26307024
12;218276;181898;176463;45584;28588;83.33394418;25.83204411;16.20056329
13;1372394;1072248;1049698;203312;286397;78.12974991;19.3686184;27.28375209
14;501153;410840;401622;99720;81770;81.97895653;24.82931712;20.35994044
15;117425;94658;91566;24477;16641;80.61145412;26.73153791;18.17377629
16;259954;204974;199013;49889;42598;78.85010425;25.06821162;21.40463186
17;491369;392018;382065;91355;80764;79.78077575;23.91085287;21.13881146
18;228983;178073;172686;38076;41753;77.76690846;22.04926861;24.17856688
19;185277;150978;145613;39218;25253;81.48771839;26.93303483;17.34254497
21;360658;291978;285124;67436;64200;80.95702854;23.65146392;22.51651913
22;455958;384341;374969;104969;61703;84.29307085;27.99404751;16.45549365
23;93113;73196;70251;15807;13966;78.60986114;22.50074732;19.88014405
24;314020;256500;248710;55945;52044;81.68269537;22.4940694;20.92557597
25;368401;292202;284179;63954;66635;79.3162885;22.5048297;23.44824917
26;369489;296279;288741;63164;68996;80.18614898;21.87566019;23.89546341
27;427533;345318;336777;66986;98719;80.76990548;19.89031317;29.31286875
28;301466;240992;234779;51038;58886;79.9400264;21.73874154;25.08145959
29;690571;569935;557185;164095;77366;82.53097799;29.45072104;13.88515484
2A;108781;75023;72868;13022;20858;68.96700711;17.87067025;28.62436186
2B;124875;83968;81508;15506;22183;67.24164164;19.02389949;27.21573342
30;537939;430662;420682;79006;123273;80.05777607;18.7804565;29.30313158
31;906653;735868;719393;190128;120225;81.16313518;26.42894774;16.71200582
32;144959;121932;118683;27775;23387;84.11481867;23.40267772;19.7054338
33;1086982;870380;850820;222287;155319;80.07308309;26.12620766;18.25521262
34;800394;641024;626844;128621;161119;80.08855639;20.51882127;25.70320526
35;730142;613437;599341;181373;84648;84.01612289;30.26207117;14.12351232
36;170409;135498;130934;27301;31985;79.51340598;20.85096308;24.42833794
37;428871;348700;339905;83165;64522;81.30650009;24.46713052;18.98236272
38;856366;678362;662514;164091;147910;79.21402765;24.76792943;22.32556595
39;190332;153808;149569;31896;36110;80.81037345;21.32527462;24.14270337
40;310197;254786;247866;61043;44956;82.13683562;24.62741965;18.1372193
41;245321;198996;193738;40639;48662;81.11657787;20.97626692;25.11742663
42;510809;401971;391367;90677;94222;78.69301441;23.16930145;24.07510086
43;177158;144283;139577;32821;32185;81.44311857;23.51461917;23.0589567
44;993538;830941;811457;232602;111194;83.63454644;28.66473516;13.70300583
45;452607;364633;355572;83506;83662;80.56282824;23.48497632;23.52884929
46;136322;113975;110787;29527;17865;83.60719473;26.65204401;16.12553819
47;240931;194126;188822;39253;47271;80.57327617;20.78836153;25.03468875
