insee;dep;nom;nb_inscrits;nb_votants;nb_exprimes;nb_voix1;nb_voix2;nb_voix3;nb_voix4;nb_voix5;nb_voix6;nb_voix7;nb_voix8;nb_voix9;nb_voix10;nb_voix11;nb_voix12;nb_voix13;nb_voix14;voix_1;voix_2;voix_3;voix_4;voix_5;voix_6;voix_7;voix_8;voix_9;voix_10;voix_11;voix_12;voix_13;voix_14
ZC301;ZC;Régina;515;197;187;45;29;33;39;6;2;6;5;14;7;1;0;318;2;24.06;15.51;17.65;20.86;3.21;1.07;3.21;2.67;7.49;3.74;0.53;0;61.75;1.07
ZC302;ZC;Cayenne;24534;8922;7175;1826;1711;1338;949;108;57;440;148;426;151;21;0;15612;455;25.45;23.85;18.65;13.23;1.51;0.79;6.13;2.06;5.94;2.1;0.29;0;63.63;6.34
ZC303;ZC;Iracoubo;1074;321;274;78;47;59;47;3;8;9;3;8;9;3;0;753;38;28.47;17.15;21.53;17.15;1.09;2.92;3.28;1.09;2.92;3.28;1.09;0;70.11;13.87
ZC304;ZC;Kourou;9768;3777;3293;846;736;686;455;59;54;213;83;118;32;11;0;5991;99;25.69;22.35;20.83;13.82;1.79;1.64;6.47;2.52;3.58;0.97;0.33;0;61.33;3.01
ZC305;ZC;Macouria;6055;2224;1802;521;464;279;208;34;13;80;24;137;35;7;0;3831;102;28.91;25.75;15.48;11.54;1.89;0.72;4.44;1.33;7.6;1.94;0.39;0;63.27;5.66
ZC306;ZC;Mana;2264;699;633;116;156;163;97;16;9;32;6;22;12;4;0;1565;10;18.33;24.64;25.75;15.32;2.53;1.42;5.06;0.95;3.48;1.9;0.63;0;69.13;1.58
ZC307;ZC;Matoury;11826;4240;3481;907;902;611;400;55;35;184;72;238;61;16;0;7586;174;26.06;25.91;17.55;11.49;1.58;1.01;5.29;2.07;6.84;1.75;0.46;0;64.15;5
ZC308;ZC;Saint-Georges;1444;325;304;105;43;58;43;5;5;16;7;12;5;5;0;1119;11;34.54;14.14;19.08;14.14;1.64;1.64;5.26;2.3;3.95;1.64;1.64;0;77.49;3.62
ZC309;ZC;Remire-Montjoly;12132;5879;4993;1019;1402;976;741;112;59;301;73;224;77;9;0;6253;204;20.41;28.08;19.55;14.84;2.24;1.18;6.03;1.46;4.49;1.54;0.18;0;51.54;4.09
ZC310;ZC;Roura;2032;804;704;205;132;119;128;12;5;31;12;42;15;3;0;1228;24;29.12;18.75;16.9;18.18;1.7;0.71;4.4;1.7;5.97;2.13;0.43;0;60.43;3.41
ZC311;ZC;Saint-Laurent-du-Maroni;10681;2411;2141;465;631;383;337;29;13;138;29;84;23;9;0;8270;68;21.72;29.47;17.89;15.74;1.35;0.61;6.45;1.35;3.92;1.07;0.42;0;77.43;3.18
ZC312;ZC;Sinnamary;1945;510;376;133;66;78;31;7;2;20;1;25;11;2;0;1435;28;35.37;17.55;20.74;8.24;1.86;0.53;5.32;0.27;6.65;2.93;0.53;0;73.78;7.45
ZC313;ZC;Montsinéry-Tonnegrande;1236;450;388;103;121;53;46;8;2;19;7;21;7;1;0;786;13;26.55;31.19;13.66;11.86;2.06;0.52;4.9;1.8;5.41;1.8;0.26;0;63.59;3.35
ZC314;ZC;Ouanary;69;19;17;7;0;3;0;1;3;1;0;2;0;0;0;50;0;41.18;0;17.65;0;5.88;17.65;5.88;0;11.76;0;0;0;72.46;0
ZC352;ZC;Saül;138;45;31;10;11;3;0;0;0;2;0;4;1;0;0;93;1;32.26;35.48;9.68;0;0;0;6.45;0;12.9;3.23;0;0;67.39;3.23
ZC353;ZC;Maripasoula;1895;196;182;48;33;46;29;2;1;9;1;6;7;0;0;1699;1;26.37;18.13;25.27;15.93;1.1;0.55;4.95;0.55;3.3;3.85;0;0;89.66;0.55
ZC356;ZC;Camopi;983;367;362;39;6;14;285;4;0;1;7;2;2;2;0;616;5;10.77;1.66;3.87;78.73;1.1;0;0.28;1.93;0.55;0.55;0.55;0;62.67;1.38
ZC357;ZC;Grand-Santi;948;70;69;2;5;42;10;4;1;5;0;0;0;0;0;878;0;2.9;7.25;60.87;14.49;5.8;1.45;7.25;0;0;0;0;0;92.62;0
ZC358;ZC;Saint-Elie;50;24;13;0;2;9;1;0;0;0;0;1;0;0;0;26;7;0;15.38;69.23;7.69;0;0;0;0;7.69;0;0;0;52;53.85
ZC360;ZC;Apatou;1589;174;168;16;91;21;22;3;2;3;0;8;0;2;0;1415;5;9.52;54.17;12.5;13.1;1.79;1.19;1.79;0;4.76;0;1.19;0;89.05;2.98
ZC361;ZC;Awala-Yalimapo;629;202;187;20;41;43;43;2;2;16;2;10;7;1;0;427;5;10.7;21.93;22.99;22.99;1.07;1.07;8.56;1.07;5.35;3.74;0.53;0;67.89;2.67
ZC362;ZC;Papaichton;1128;69;59;10;4;14;24;2;0;3;0;1;0;1;0;1059;3;16.95;6.78;23.73;40.68;3.39;0;5.08;0;1.69;0;1.69;0;93.88;5.08
