insee;dep;nom;nb_inscrits;nb_votants;nb_exprimes;nb_voix1;nb_voix2;nb_voix3;nb_voix4;nb_voix5;nb_voix6;nb_voix7;nb_voix8;nb_voix9;nb_voix10;nb_voix11;nb_voix12;nb_voix13;nb_voix14;voix_1;voix_2;voix_3;voix_4;voix_5;voix_6;voix_7;voix_8;voix_9;voix_10;voix_11;voix_12;voix_13;voix_14
ZM501;ZM;Acoua;2813;1339;1024;295;56;102;263;33;10;182;19;34;19;11;0;1474;270;28.81;5.47;9.96;25.68;3.22;0.98;17.77;1.86;3.32;1.86;1.07;0;52.4;26.37
ZM502;ZM;Bandraboua;4734;1667;1553;505;83;201;381;36;11;273;16;28;12;7;0;3067;68;32.52;5.34;12.94;24.53;2.32;0.71;17.58;1.03;1.8;0.77;0.45;0;64.79;4.38
ZM503;ZM;Bandrele;4708;1782;1675;457;139;161;775;39;6;41;8;22;21;6;0;2926;69;27.28;8.3;9.61;46.27;2.33;0.36;2.45;0.48;1.31;1.25;0.36;0;62.15;4.12
ZM504;ZM;Bouéni;3665;1984;1873;858;99;154;619;55;6;16;19;26;14;7;0;1681;78;45.81;5.29;8.22;33.05;2.94;0.32;0.85;1.01;1.39;0.75;0.37;0;45.87;4.16
ZM505;ZM;Chiconi;4504;2403;2125;651;130;182;895;79;13;44;27;50;42;12;0;2101;199;30.64;6.12;8.56;42.12;3.72;0.61;2.07;1.27;2.35;1.98;0.56;0;46.65;9.36
ZM506;ZM;Chirongui;4844;1726;1573;368;95;319;659;39;6;32;14;24;12;5;0;3118;105;23.39;6.04;20.28;41.89;2.48;0.38;2.03;0.89;1.53;0.76;0.32;0;64.37;6.68
ZM507;ZM;Dembeni;3512;1588;1478;329;119;440;449;40;3;35;29;17;13;4;0;1924;79;22.26;8.05;29.77;30.38;2.71;0.2;2.37;1.96;1.15;0.88;0.27;0;54.78;5.35
ZM508;ZM;Dzaoudzi;5355;2566;2370;650;227;906;362;66;14;56;31;33;17;8;0;2789;129;27.43;9.58;38.23;15.27;2.78;0.59;2.36;1.31;1.39;0.72;0.34;0;52.08;5.44
ZM509;ZM;Kani-Kéli;3811;1699;1575;483;81;140;695;59;4;32;22;34;16;9;0;2112;81;30.67;5.14;8.89;44.13;3.75;0.25;2.03;1.4;2.16;1.02;0.57;0;55.42;5.14
ZM510;ZM;Koungou;5252;2473;2331;552;211;564;671;80;26;89;43;52;33;10;0;2779;86;23.68;9.05;24.2;28.79;3.43;1.12;3.82;1.84;2.23;1.42;0.43;0;52.91;3.69
ZM511;ZM;Mamoudzou;14268;6284;5814;1152;680;1730;1511;203;36;213;75;126;53;35;0;7984;290;19.81;11.7;29.76;25.99;3.49;0.62;3.66;1.29;2.17;0.91;0.6;0;55.96;4.99
ZM512;ZM;Mtsamboro;5616;2112;1778;550;89;310;690;37;7;35;13;22;18;7;0;3504;281;30.93;5.01;17.44;38.81;2.08;0.39;1.97;0.73;1.24;1.01;0.39;0;62.39;15.8
ZM513;ZM;M'Tsangamouji;4000;1545;1427;436;93;130;500;60;7;104;20;41;26;10;0;2455;85;30.55;6.52;9.11;35.04;4.2;0.49;7.29;1.4;2.87;1.82;0.7;0;61.38;5.96
ZM514;ZM;Ouangani;3133;1236;1114;264;72;153;500;40;6;35;10;22;6;6;0;1897;78;23.7;6.46;13.73;44.88;3.59;0.54;3.14;0.9;1.97;0.54;0.54;0;60.55;7
ZM515;ZM;Pamandzi;4129;2011;1877;574;269;442;390;41;11;63;39;28;10;10;0;2118;91;30.58;14.33;23.55;20.78;2.18;0.59;3.36;2.08;1.49;0.53;0.53;0;51.3;4.85
ZM516;ZM;Sada;5138;2136;1997;515;160;203;883;70;13;89;11;33;10;10;0;3002;92;25.79;8.01;10.17;44.22;3.51;0.65;4.46;0.55;1.65;0.5;0.5;0;58.43;4.61
ZM517;ZM;Tsingoni;3565;1636;1546;369;186;227;565;42;3;95;12;29;12;6;0;1929;51;23.87;12.03;14.68;36.55;2.72;0.19;6.14;0.78;1.88;0.78;0.39;0;54.11;3.3
