insee;dep;nom;nb_inscrits;nb_votants;nb_exprimes;nb_voix1;nb_voix2;nb_voix3;nb_voix4;nb_voix5;nb_voix6;nb_voix7;nb_voix8;nb_voix9;nb_voix10;nb_voix11;nb_voix12;nb_voix13;nb_voix14;voix_1;voix_2;voix_3;voix_4;voix_5;voix_6;voix_7;voix_8;voix_9;voix_10;voix_11;voix_12;voix_13;voix_14
ZZ001;ZZ;Abidjan;11294;4328;4293;328;713;1166;1756;42;27;195;35;15;7;9;0;6966;14;7.64;16.61;27.16;40.9;0.98;0.63;4.54;0.82;0.35;0.16;0.21;0;61.68;0.33
ZZ002;ZZ;Abou Dabi;3469;2154;2122;267;230;725;706;43;18;84;35;10;2;2;0;1315;5;12.58;10.84;34.17;33.27;2.03;0.85;3.96;1.65;0.47;0.09;0.09;0;37.91;0.24
ZZ003;ZZ;Abuja;200;116;116;13;15;43;38;0;0;7;0;0;0;0;0;84;0;11.21;12.93;37.07;32.76;0;0;6.03;0;0;0;0;0;42;0
ZZ004;ZZ;Accra;637;336;331;18;35;129;112;4;3;24;5;1;0;0;0;301;0;5.44;10.57;38.97;33.84;1.21;0.91;7.25;1.51;0.3;0;0;0;47.25;0
ZZ005;ZZ;Achgabat;54;31;31;6;2;10;9;1;0;2;0;1;0;0;0;23;0;19.35;6.45;32.26;29.03;3.23;0;6.45;0;3.23;0;0;0;42.59;0
ZZ006;ZZ;Addis Abeba;569;327;321;9;63;152;54;4;4;31;0;4;0;0;0;242;1;2.8;19.63;47.35;16.82;1.25;1.25;9.66;0;1.25;0;0;0;42.53;0.31
ZZ007;ZZ;Agadir;2949;1589;1576;180;303;409;567;30;11;47;15;11;1;2;0;1360;2;11.42;19.23;25.95;35.98;1.9;0.7;2.98;0.95;0.7;0.06;0.13;0;46.12;0.13
ZZ008;ZZ;Alexandrie;397;150;147;10;34;55;36;1;0;7;1;3;0;0;0;247;3;6.8;23.13;37.41;24.49;0.68;0;4.76;0.68;2.04;0;0;0;62.22;2.04
ZZ009;ZZ;Alger;14133;2609;2562;46;673;1321;296;16;5;148;32;12;8;5;0;11524;15;1.8;26.27;51.56;11.55;0.62;0.2;5.78;1.25;0.47;0.31;0.2;0;81.54;0.59
ZZ010;ZZ;Almaty;270;165;164;14;17;44;72;3;2;9;2;0;0;1;0;105;0;8.54;10.37;26.83;43.9;1.83;1.22;5.49;1.22;0;0;0.61;0;38.89;0
ZZ011;ZZ;Amman;970;521;511;19;103;227;77;4;2;72;2;3;2;0;0;449;6;3.72;20.16;44.42;15.07;0.78;0.39;14.09;0.39;0.59;0.39;0;0;46.29;1.17
ZZ012;ZZ;Amsterdam;17443;7882;7827;236;1132;4087;1323;98;23;789;52;50;22;15;0;9561;18;3.02;14.46;52.22;16.9;1.25;0.29;10.08;0.66;0.64;0.28;0.19;0;54.81;0.23
ZZ013;ZZ;Andorre;2368;1140;1129;230;127;270;354;46;9;50;25;12;4;2;0;1228;3;20.37;11.25;23.91;31.36;4.07;0.8;4.43;2.21;1.06;0.35;0.18;0;51.86;0.27
ZZ014;ZZ;Ankara;1318;340;337;18;79;129;53;4;2;42;4;4;0;2;0;978;2;5.34;23.44;38.28;15.73;1.19;0.59;12.46;1.19;1.19;0;0.59;0;74.2;0.59
ZZ015;ZZ;Annaba;4554;838;818;19;187;445;76;7;1;53;9;8;4;9;0;3716;7;2.32;22.86;54.4;9.29;0.86;0.12;6.48;1.1;0.98;0.49;1.1;0;81.6;0.86
ZZ017;ZZ;Assomption;1039;296;289;93;30;73;76;2;1;7;2;4;1;0;0;743;2;32.18;10.38;25.26;26.3;0.69;0.35;2.42;0.69;1.38;0.35;0;0;71.51;0.69
ZZ018;ZZ;Athenes;6536;2649;2625;215;675;895;550;60;9;146;17;31;19;8;0;3887;10;8.19;25.71;34.1;20.95;2.29;0.34;5.56;0.65;1.18;0.72;0.3;0;59.47;0.38
ZZ019;ZZ;Atlanta;5227;1860;1846;117;185;924;483;29;6;87;9;3;2;1;0;3367;5;6.34;10.02;50.05;26.16;1.57;0.33;4.71;0.49;0.16;0.11;0.05;0;64.42;0.27
ZZ020;ZZ;Bagdad;59;26;26;0;2;14;7;0;0;3;0;0;0;0;0;33;0;0;7.69;53.85;26.92;0;0;11.54;0;0;0;0;0;55.93;0
ZZ021;ZZ;Bakou;102;73;73;5;11;26;18;2;0;7;3;1;0;0;0;29;0;6.85;15.07;35.62;24.66;2.74;0;9.59;4.11;1.37;0;0;0;28.43;0
ZZ022;ZZ;Bamako;3154;985;972;51;229;338;192;8;4;132;7;6;3;2;0;2169;4;5.25;23.56;34.77;19.75;0.82;0.41;13.58;0.72;0.62;0.31;0.21;0;68.77;0.41
ZZ023;ZZ;Bandar Seri Begawan;79;43;43;5;7;12;16;2;0;1;0;0;0;0;0;36;0;11.63;16.28;27.91;37.21;4.65;0;2.33;0;0;0;0;0;45.57;0
ZZ024;ZZ;Bangalore;515;331;325;5;36;165;87;7;0;16;4;1;4;0;0;184;0;1.54;11.08;50.77;26.77;2.15;0;4.92;1.23;0.31;1.23;0;0;35.73;0
ZZ025;ZZ;Bangkok;8275;3643;3601;695;401;1064;1143;50;24;111;102;6;4;1;0;4632;8;19.3;11.14;29.55;31.74;1.39;0.67;3.08;2.83;0.17;0.11;0.03;0;55.98;0.22
ZZ026;ZZ;Bangui;447;215;209;25;22;94;53;1;2;9;2;0;1;0;0;232;2;11.96;10.53;44.98;25.36;0.48;0.96;4.31;0.96;0;0.48;0;0;51.9;0.96
ZZ027;ZZ;Barcelone;28198;11363;11237;833;2505;4164;2380;200;61;837;74;117;36;30;0;16835;45;7.41;22.29;37.06;21.18;1.78;0.54;7.45;0.66;1.04;0.32;0.27;0;59.7;0.4
ZZ028;ZZ;Belgrade;1026;398;396;83;67;118;89;7;4;17;5;4;1;1;0;628;2;20.96;16.92;29.8;22.47;1.77;1.01;4.29;1.26;1.01;0.25;0.25;0;61.21;0.51
ZZ029;ZZ;Berlin;15398;9205;9152;219;1908;4580;829;95;24;1292;52;107;25;21;0;6193;23;2.39;20.85;50.04;9.06;1.04;0.26;14.12;0.57;1.17;0.27;0.23;0;40.22;0.25
ZZ030;ZZ;Beyrouth;17664;9028;8941;1099;590;1432;5451;47;13;220;58;14;9;8;0;8636;47;12.29;6.6;16.02;60.97;0.53;0.15;2.46;0.65;0.16;0.1;0.09;0;48.89;0.53
ZZ031;ZZ;Bilbao;3934;950;939;47;224;368;151;22;5;96;9;12;4;1;0;2984;4;5.01;23.86;39.19;16.08;2.34;0.53;10.22;0.96;1.28;0.43;0.11;0;75.85;0.43
