dep,insee,nb_inscrits,nb_votants,nb_exprimes,nbvoix_1,nbvoix_2,participation,voix_1,voix_2,com
11,11001,377,313,292,59,93,83.02,20.21,31.85,Aigues-Vives
11,11002,129,110,108,15,17,85.27,13.89,15.74,Airoux
11,11003,161,131,130,30,35,81.37,23.08,26.92,Ajac
11,11004,195,161,158,36,35,82.56,22.78,22.15,Alaigne
11,11005,932,825,794,197,241,88.52,24.81,30.35,Alairac
11,11006,71,59,58,19,7,83.1,32.76,12.07,Albas
11,11007,84,67,65,7,9,79.76,10.77,13.85,Albières
11,11008,364,296,286,57,45,81.32,19.93,15.73,Alet-les-Bains
11,11009,1080,916,891,161,248,84.81,18.07,27.83,Alzonne
11,11010,232,192,187,39,56,82.76,20.86,29.95,Antugnac
11,11011,387,320,312,70,82,82.69,22.44,26.28,Aragon
11,11012,1679,1339,1308,248,480,79.75,18.96,36.70,Argeliers
11,11013,273,237,234,41,64,86.81,17.52,27.35,Argens-Minervois
11,11014,1169,1010,992,213,244,86.4,21.47,24.60,Armissan
11,11015,140,114,111,17,28,81.43,15.32,25.23,Arques
11,11016,86,78,74,12,25,90.7,16.22,33.78,Arquettes-en-Val
11,11017,89,82,81,20,23,92.13,24.69,28.40,Artigues
11,11018,899,790,768,140,217,87.88,18.23,28.26,Arzens
11,11019,62,52,48,11,7,83.87,22.92,14.58,Aunat
11,11020,23,17,17,1,2,73.91,5.88,11.76,Auriac
11,11021,389,300,289,63,52,77.12,21.80,17.99,Axat
11,11022,887,716,690,137,202,80.72,19.86,29.28,Azille
11,11023,556,470,461,89,147,84.53,19.31,31.89,Badens
11,11024,663,549,529,115,133,82.81,21.74,25.14,Bages
11,11025,188,173,168,41,46,92.02,24.40,27.38,Bagnoles
11,11026,111,96,94,12,30,86.49,12.77,31.91,Baraigne
11,11027,569,487,476,101,154,85.59,21.22,32.35,Barbaira
11,11028,345,287,270,56,76,83.19,20.74,28.15,Belcaire
11,11029,47,39,38,16,10,82.98,42.11,26.32,Belcastel-et-Buc
11,11030,97,88,87,22,11,90.72,25.29,12.64,Belflou
11,11031,38,32,31,5,5,84.21,16.13,16.13,Belfort-sur-Rebenty
