insee;dep;nom;nb_inscrits;nb_votants;nb_exprimes;nb_voix1;nb_voix2;nb_voix3;nb_voix4;nb_voix5;nb_voix6;nb_voix7;nb_voix8;nb_voix9;nb_voix10;nb_voix11;nb_voix12;nb_voix13;nb_voix14;voix_1;voix_2;voix_3;voix_4;voix_5;voix_6;voix_7;voix_8;voix_9;voix_10;voix_11;voix_12;voix_13;voix_14
12001;12;Agen-d'Aveyron;934;825;802;143;172;244;114;32;43;31;4;10;8;1;0;109;7;17.83;21.45;30.42;14.21;3.99;5.36;3.87;0.5;1.25;1;0.12;0;11.67;0.87
12002;12;Aguessac;643;552;540;114;122;142;62;24;16;40;5;12;2;1;0;91;6;21.11;22.59;26.3;11.48;4.44;2.96;7.41;0.93;2.22;0.37;0.19;0;14.15;1.11
12003;12;Les Albres;290;254;251;59;51;54;45;12;7;19;0;3;1;0;0;36;0;23.51;20.32;21.51;17.93;4.78;2.79;7.57;0;1.2;0.4;0;0;12.41;0
12004;12;Almont-les-Junies;381;330;320;30;54;97;88;20;8;15;0;5;2;1;0;51;2;9.38;16.88;30.31;27.5;6.25;2.5;4.69;0;1.56;0.63;0.31;0;13.39;0.63
12006;12;Alrance;318;278;266;38;44;62;76;22;16;3;1;2;1;1;0;40;4;14.29;16.54;23.31;28.57;8.27;6.02;1.13;0.38;0.75;0.38;0.38;0;12.58;1.5
12007;12;Ambeyrac;149;130;127;14;35;29;26;6;4;11;1;0;1;0;0;19;3;11.02;27.56;22.83;20.47;4.72;3.15;8.66;0.79;0;0.79;0;0;12.75;2.36
12008;12;Anglars-Saint-Félix;606;532;517;79;105;127;102;21;38;28;4;9;3;1;0;74;2;15.28;20.31;24.56;19.73;4.06;7.35;5.42;0.77;1.74;0.58;0.19;0;12.21;0.39
12009;12;Arnac-sur-Dourdou;69;60;58;15;8;2;27;3;3;0;0;0;0;0;0;9;0;25.86;13.79;3.45;46.55;5.17;5.17;0;0;0;0;0;0;13.04;0
12010;12;Arques;121;101;97;17;8;21;33;3;8;4;1;2;0;0;0;20;1;17.53;8.25;21.65;34.02;3.09;8.25;4.12;1.03;2.06;0;0;0;16.53;1.03
12011;12;Arvieu;739;635;619;74;104;173;154;41;35;31;1;3;3;0;0;104;9;11.95;16.8;27.95;24.88;6.62;5.65;5.01;0.16;0.48;0.48;0;0;14.07;1.45
12012;12;Asprières;495;428;416;92;106;77;73;19;15;28;1;5;0;0;0;67;3;22.12;25.48;18.51;17.55;4.57;3.61;6.73;0.24;1.2;0;0;0;13.54;0.72
12013;12;Aubin;3112;2398;2329;414;830;508;199;101;61;142;12;41;18;3;0;714;30;17.78;35.64;21.81;8.54;4.34;2.62;6.1;0.52;1.76;0.77;0.13;0;22.94;1.29
