dep,insee,nb_inscrits,nb_votants,nb_exprimes,nbvoix_1,nbvoix_2,participation,voix_1,voix_2,com
2A,2A001,2515,1816,1756,389,562,72.21,22.15,32.00,Pont-de-Buis-lès-Quimerch
2A,2A004,35205,24125,23472,4378,7173,68.53,18.65,30.56,Pont-de-Buis-lès-Quimerch
2A,2A006,2864,2004,1947,324,644,69.97,16.64,33.08,Pont-de-Buis-lès-Quimerch
2A,2A008,1360,1013,997,173,301,74.49,17.35,30.19,Pont-de-Buis-lès-Quimerch
2A,2A011,77,46,46,12,9,59.74,26.09,19.57,Pont-de-Buis-lès-Quimerch
2A,2A014,74,50,48,5,7,67.57,10.42,14.58,Pont-de-Buis-lès-Quimerch
2A,2A017,1467,1036,1006,167,365,70.62,16.60,36.28,Pont-de-Buis-lès-Quimerch
2A,2A018,142,93,91,8,44,65.49,8.79,48.35,Pont-de-Buis-lès-Quimerch
2A,2A019,92,65,63,16,10,70.65,25.40,15.87,Pont-de-Buis-lès-Quimerch
2A,2A021,125,84,75,12,13,67.2,16.00,17.33,Pont-de-Buis-lès-Quimerch
2A,2A022,95,65,62,3,12,68.42,4.84,19.35,Pont-de-Buis-lès-Quimerch
2A,2A024,224,154,144,39,38,68.75,27.08,26.39,Pont-de-Buis-lès-Quimerch
2A,2A026,160,121,121,17,38,75.63,14.05,31.40,Pont-de-Buis-lès-Quimerch
2A,2A027,76,48,48,12,13,63.16,25.00,27.08,Pont-de-Buis-lès-Quimerch
2A,2A028,229,138,133,12,12,60.26,9.02,9.02,Pont-de-Buis-lès-Quimerch
2A,2A031,569,346,329,48,76,60.81,14.59,23.10,Pont-de-Buis-lès-Quimerch
2A,2A032,2896,2108,2047,411,578,72.79,20.08,28.24,Pont-de-Buis-lès-Quimerch
2A,2A035,242,169,159,36,21,69.83,22.64,13.21,Pont-de-Buis-lès-Quimerch
2A,2A038,66,48,48,5,0,72.73,10.42,0.00,Pont-de-Buis-lès-Quimerch
2A,2A040,517,349,335,85,71,67.5,25.37,21.19,Pont-de-Buis-lès-Quimerch
2A,2A041,2615,1912,1858,403,489,73.12,21.69,26.32,Pont-de-Buis-lès-Quimerch
2A,2A048,566,439,432,102,116,77.56,23.61,26.85,Pont-de-Buis-lès-Quimerch
2A,2A056,131,99,94,13,26,75.57,13.83,27.66,Pont-de-Buis-lès-Quimerch
2A,2A060,93,64,63,13,5,68.82,20.63,7.94,Pont-de-Buis-lès-Quimerch
2A,2A061,131,86,85,13,7,65.65,15.29,8.24,Pont-de-Buis-lès-Quimerch
2A,2A062,307,185,176,14,55,60.26,7.95,31.25,Pont-de-Buis-lès-Quimerch
2A,2A064,54,39,38,10,12,72.22,26.32,31.58,Pont-de-Buis-lès-Quimerch
2A,2A065,976,665,649,88,174,68.14,13.56,26.81,Pont-de-Buis-lès-Quimerch
2A,2A066,62,38,38,3,13,61.29,7.89,34.21,Pont-de-Buis-lès-Quimerch
2A,2A070,397,258,248,31,75,64.99,12.50,30.24,Pont-de-Buis-lès-Quimerch
2A,2A071,170,111,104,11,20,65.29,10.58,19.23,Pont-de-Buis-lès-Quimerch
2A,2A085,1056,755,738,156,238,71.5,21.14,32.25,Pont-de-Buis-lès-Quimerch
2A,2A089,180,95,94,14,19,52.78,14.89,20.21,Pont-de-Buis-lès-Quimerch
2A,2A090,667,434,419,83,126,65.07,19.81,30.07,Pont-de-Buis-lès-Quimerch
2A,2A091,226,169,166,32,50,74.78,19.28,30.12,Pont-de-Buis-lès-Quimerch
2A,2A092,863,544,529,87,114,63.04,16.45,21.55,Pont-de-Buis-lès-Quimerch
2A,2A094,137,89,83,19,8,64.96,22.89,9.64,Pont-de-Buis-lès-Quimerch
2A,2A098,703,507,496,79,133,72.12,15.93,26.81,Pont-de-Buis-lès-Quimerch
2A,2A099,319,167,164,43,57,52.35,26.22,34.76,Pont-de-Buis-lès-Quimerch
2A,2A100,69,52,51,14,1,75.36,27.45,1.96,Pont-de-Buis-lès-Quimerch
2A,2A103,1611,1022,983,169,336,63.44,17.19,34.18,Pont-de-Buis-lès-Quimerch
2A,2A104,854,617,603,119,141,72.25,19.73,23.38,Pont-de-Buis-lès-Quimerch
2A,2A108,198,121,119,29,20,61.11,24.37,16.81,Pont-de-Buis-lès-Quimerch
2A,2A114,1137,797,779,141,204,70.1,18.10,26.19,Pont-de-Buis-lès-Quimerch
