insee;dep;nom;nb_inscrits;nb_votants;nb_exprimes;nb_voix1;nb_voix2;nb_voix3;nb_voix4;nb_voix5;nb_voix6;nb_voix7;nb_voix8;nb_voix9;nb_voix10;nb_voix11;nb_voix12;nb_voix13;nb_voix14;voix_1;voix_2;voix_3;voix_4;voix_5;voix_6;voix_7;voix_8;voix_9;voix_10;voix_11;voix_12;voix_13;voix_14
2A001;2A;Afa;2515;1816;1756;562;215;389;293;82;110;71;14;12;5;3;0;699;36;32;12.24;22.15;16.69;4.67;6.26;4.04;0.8;0.68;0.28;0.17;0;27.79;2.05
2A004;2A;Ajaccio;35205;24125;23472;7173;3483;4378;5456;648;890;935;164;234;79;32;0;11080;276;30.56;14.84;18.65;23.24;2.76;3.79;3.98;0.7;1;0.34;0.14;0;31.47;1.18
2A006;2A;Alata;2864;2004;1947;644;376;324;322;76;104;69;13;11;7;1;0;860;22;33.08;19.31;16.64;16.54;3.9;5.34;3.54;0.67;0.56;0.36;0.05;0;30.03;1.13
2A008;2A;Albitreccia;1360;1013;997;301;133;173;270;40;37;29;4;10;0;0;0;347;7;30.19;13.34;17.35;27.08;4.01;3.71;2.91;0.4;1;0;0;0;25.51;0.7
2A011;2A;Altagène;77;46;46;9;7;12;12;0;4;0;1;0;0;1;0;31;0;19.57;15.22;26.09;26.09;0;8.7;0;2.17;0;0;2.17;0;40.26;0
2A014;2A;Ambiegna;74;50;48;7;2;5;17;1;16;0;0;0;0;0;0;24;0;14.58;4.17;10.42;35.42;2.08;33.33;0;0;0;0;0;0;32.43;0
2A017;2A;Appietto;1467;1036;1006;365;131;167;185;41;66;36;2;12;1;0;0;431;9;36.28;13.02;16.6;18.39;4.08;6.56;3.58;0.2;1.19;0.1;0;0;29.38;0.89
2A018;2A;Arbellara;142;93;91;44;11;8;6;5;3;11;0;3;0;0;0;49;2;48.35;12.09;8.79;6.59;5.49;3.3;12.09;0;3.3;0;0;0;34.51;2.2
2A019;2A;Arbori;92;65;63;10;1;16;31;0;3;2;0;0;0;0;0;27;0;15.87;1.59;25.4;49.21;0;4.76;3.17;0;0;0;0;0;29.35;0
2A021;2A;Argiusta-Moriccio;125;84;75;13;8;12;17;5;14;6;0;0;0;0;0;41;5;17.33;10.67;16;22.67;6.67;18.67;8;0;0;0;0;0;32.8;6.67
2A022;2A;Arro;95;65;62;12;6;3;18;2;16;5;0;0;0;0;0;30;0;19.35;9.68;4.84;29.03;3.23;25.81;8.06;0;0;0;0;0;31.58;0
