dep,insee,nb_inscrits,nb_votants,nb_exprimes,nbvoix_1,nbvoix_2,participation,voix_1,voix_2,com
2B,2B002,184,141,137,25,29,76.63,18.25,21.17,Pont-de-Buis-lès-Quimerch
2B,2B003,75,58,57,20,4,77.33,35.09,7.02,Pont-de-Buis-lès-Quimerch
2B,2B005,30,25,25,6,1,83.33,24.00,4.00,Pont-de-Buis-lès-Quimerch
2B,2B007,311,182,172,82,29,58.52,47.67,16.86,Pont-de-Buis-lès-Quimerch
2B,2B009,1387,878,866,90,237,63.3,10.39,27.37,Pont-de-Buis-lès-Quimerch
2B,2B010,261,191,185,33,37,73.18,17.84,20.00,Pont-de-Buis-lès-Quimerch
2B,2B012,105,55,51,28,4,52.38,54.90,7.84,Pont-de-Buis-lès-Quimerch
2B,2B013,37,10,9,1,0,27.03,11.11,0.00,Pont-de-Buis-lès-Quimerch
2B,2B015,24,22,21,4,0,91.67,19.05,0.00,Pont-de-Buis-lès-Quimerch
2B,2B016,476,337,331,104,76,70.8,31.42,22.96,Pont-de-Buis-lès-Quimerch
2B,2B020,474,299,285,73,61,63.08,25.61,21.40,Pont-de-Buis-lès-Quimerch
2B,2B023,159,105,102,25,14,66.04,24.51,13.73,Pont-de-Buis-lès-Quimerch
2B,2B025,93,57,55,20,9,61.29,36.36,16.36,Pont-de-Buis-lès-Quimerch
2B,2B029,218,154,148,37,37,70.64,25.00,25.00,Pont-de-Buis-lès-Quimerch
2B,2B030,198,137,136,26,22,69.19,19.12,16.18,Pont-de-Buis-lès-Quimerch
2B,2B033,21724,13819,13416,2588,4128,63.61,19.29,30.77,Pont-de-Buis-lès-Quimerch
2B,2B034,407,302,299,50,29,74.2,16.72,9.70,Pont-de-Buis-lès-Quimerch
2B,2B036,97,85,83,64,4,87.63,77.11,4.82,Pont-de-Buis-lès-Quimerch
2B,2B037,4733,3526,3419,454,1249,74.5,13.28,36.53,Pont-de-Buis-lès-Quimerch
2B,2B039,249,156,149,12,32,62.65,8.05,21.48,Pont-de-Buis-lès-Quimerch
2B,2B042,5033,3480,3426,297,629,69.14,8.67,18.36,Pont-de-Buis-lès-Quimerch
2B,2B043,1393,1079,1054,197,270,77.46,18.69,25.62,Pont-de-Buis-lès-Quimerch
2B,2B045,111,73,72,2,15,65.77,2.78,20.83,Pont-de-Buis-lès-Quimerch
2B,2B046,197,144,139,24,36,73.1,17.27,25.90,Pont-de-Buis-lès-Quimerch
2B,2B047,482,321,313,39,22,66.6,12.46,7.03,Pont-de-Buis-lès-Quimerch
2B,2B049,1659,1101,1071,150,348,66.37,14.01,32.49,Pont-de-Buis-lès-Quimerch
2B,2B050,3976,2723,2628,350,762,68.49,13.32,29.00,Pont-de-Buis-lès-Quimerch
2B,2B051,141,86,81,20,19,60.99,24.69,23.46,Pont-de-Buis-lès-Quimerch
