insee;dep;nom;nb_inscrits;nb_votants;nb_exprimes;nb_voix1;nb_voix2;nb_voix3;nb_voix4;nb_voix5;nb_voix6;nb_voix7;nb_voix8;nb_voix9;nb_voix10;nb_voix11;nb_voix12;nb_voix13;nb_voix14;voix_1;voix_2;voix_3;voix_4;voix_5;voix_6;voix_7;voix_8;voix_9;voix_10;voix_11;voix_12;voix_13;voix_14
2B002;2B;Aghione;184;141;137;29;23;25;45;4;7;1;1;1;1;0;0;43;1;21.17;16.79;18.25;32.85;2.92;5.11;0.73;0.73;0.73;0.73;0;0;23.37;0.73
2B003;2B;Aiti;75;58;57;4;13;20;12;0;3;5;0;0;0;0;0;17;1;7.02;22.81;35.09;21.05;0;5.26;8.77;0;0;0;0;0;22.67;1.75
2B005;2B;Alando;30;25;25;1;3;6;9;0;1;3;0;2;0;0;0;5;0;4;12;24;36;0;4;12;0;8;0;0;0;16.67;0
2B007;2B;Albertacce;311;182;172;29;14;82;21;3;12;9;1;1;0;0;0;129;0;16.86;8.14;47.67;12.21;1.74;6.98;5.23;0.58;0.58;0;0;0;41.48;0
2B009;2B;Aléria;1387;878;866;237;63;90;380;18;37;30;3;6;2;0;0;509;2;27.37;7.27;10.39;43.88;2.08;4.27;3.46;0.35;0.69;0.23;0;0;36.7;0.23
2B010;2B;Algajola;261;191;185;37;14;33;89;2;6;3;1;0;0;0;0;70;4;20;7.57;17.84;48.11;1.08;3.24;1.62;0.54;0;0;0;0;26.82;2.16
2B012;2B;Altiani;105;55;51;4;9;28;2;2;2;3;0;1;0;0;0;50;3;7.84;17.65;54.9;3.92;3.92;3.92;5.88;0;1.96;0;0;0;47.62;5.88
2B013;2B;Alzi;37;10;9;0;2;1;0;0;4;2;0;0;0;0;0;27;1;0;22.22;11.11;0;0;44.44;22.22;0;0;0;0;0;72.97;11.11
2B015;2B;Ampriani;24;22;21;0;6;4;5;0;4;1;0;0;0;1;0;2;1;0;28.57;19.05;23.81;0;19.05;4.76;0;0;0;4.76;0;8.33;4.76
2B016;2B;Antisanti;476;337;331;76;25;104;74;8;30;12;0;0;1;1;0;139;2;22.96;7.55;31.42;22.36;2.42;9.06;3.63;0;0;0.3;0.3;0;29.2;0.6
2B020;2B;Aregno;474;299;285;61;28;73;86;9;12;12;2;2;0;0;0;175;4;21.4;9.82;25.61;30.18;3.16;4.21;4.21;0.7;0.7;0;0;0;36.92;1.4
2B023;2B;Asco;159;105;102;14;21;25;22;3;12;5;0;0;0;0;0;54;1;13.73;20.59;24.51;21.57;2.94;11.76;4.9;0;0;0;0;0;33.96;0.98
