insee;dep;nom;nb_inscrits;nb_votants;nb_exprimes;nb_voix1;nb_voix2;nb_voix3;nb_voix4;nb_voix5;nb_voix6;nb_voix7;nb_voix8;nb_voix9;nb_voix10;nb_voix11;nb_voix12;nb_voix13;nb_voix14;voix_1;voix_2;voix_3;voix_4;voix_5;voix_6;voix_7;voix_8;voix_9;voix_10;voix_11;voix_12;voix_13;voix_14
80001;80;Abbeville;18013;12681;12270;3542;2481;2824;1892;468;94;594;69;148;136;22;0;5332;166;28.87;20.22;23.02;15.42;3.81;0.77;4.84;0.56;1.21;1.11;0.18;0;29.6;1.35
80002;80;Ablaincourt-Pressoir;197;164;156;68;19;25;28;11;1;3;0;1;0;0;0;33;4;43.59;12.18;16.03;17.95;7.05;0.64;1.92;0;0.64;0;0;0;16.75;2.56
80003;80;Acheux-en-Amiénois;427;360;354;122;62;74;49;20;2;9;2;8;4;2;0;67;0;34.46;17.51;20.9;13.84;5.65;0.56;2.54;0.56;2.26;1.13;0.56;0;15.69;0
80004;80;Acheux-en-Vimeu;411;345;335;111;74;58;52;19;1;9;5;3;3;0;0;66;5;33.13;22.09;17.31;15.52;5.67;0.3;2.69;1.49;0.9;0.9;0;0;16.06;1.49
80005;80;Agenville;69;67;66;21;16;4;5;10;0;3;0;0;7;0;0;2;0;31.82;24.24;6.06;7.58;15.15;0;4.55;0;0;10.61;0;0;2.9;0
80006;80;Agenvillers;173;152;146;53;12;21;39;10;3;5;0;2;1;0;0;21;1;36.3;8.22;14.38;26.71;6.85;2.05;3.42;0;1.37;0.68;0;0;12.14;0.68
80008;80;Aigneville;655;548;530;176;115;107;64;32;2;19;5;7;1;2;0;107;3;33.21;21.7;20.19;12.08;6.04;0.38;3.58;0.94;1.32;0.19;0.38;0;16.34;0.57
80009;80;Ailly-le-Haut-Clocher;764;645;630;188;94;160;105;41;5;22;7;7;1;0;0;119;5;29.84;14.92;25.4;16.67;6.51;0.79;3.49;1.11;1.11;0.16;0;0;15.58;0.79
80010;80;Ailly-sur-Noye;2106;1729;1684;498;285;430;262;70;12;78;15;21;10;3;0;377;11;29.57;16.92;25.53;15.56;4.16;0.71;4.63;0.89;1.25;0.59;0.18;0;17.9;0.65
80011;80;Ailly-sur-Somme;2457;1964;1918;677;395;428;198;76;14;71;11;21;25;2;0;493;20;35.3;20.59;22.31;10.32;3.96;0.73;3.7;0.57;1.09;1.3;0.1;0;20.07;1.04
80013;80;Airaines;1594;1315;1272;508;222;256;157;42;5;46;6;13;15;2;0;279;13;39.94;17.45;20.13;12.34;3.3;0.39;3.62;0.47;1.02;1.18;0.16;0;17.5;1.02
80014;80;Aizecourt-le-Bas;40;32;32;18;1;6;5;2;0;0;0;0;0;0;0;8;0;56.25;3.13;18.75;15.63;6.25;0;0;0;0;0;0;0;20;0
80015;80;Aizecourt-le-Haut;64;57;55;22;4;9;15;2;0;3;0;0;0;0;0;7;1;40;7.27;16.36;27.27;3.64;0;5.45;0;0;0;0;0;10.94;1.82
80016;80;Albert;7390;5456;5297;1649;1097;1104;687;259;53;261;33;82;65;7;0;1934;40;31.13;20.71;20.84;12.97;4.89;1;4.93;0.62;1.55;1.23;0.13;0;26.17;0.76
80017;80;Allaines;322;266;259;82;40;55;54;12;0;8;3;4;1;0;0;56;2;31.66;15.44;21.24;20.85;4.63;0;3.09;1.16;1.54;0.39;0;0;17.39;0.77
80018;80;Allenay;211;175;169;54;37;33;23;7;3;6;0;2;1;3;0;36;2;31.95;21.89;19.53;13.61;4.14;1.78;3.55;0;1.18;0.59;1.78;0;17.06;1.18
80019;80;Allery;687;551;525;195;75;92;93;30;5;14;11;2;6;2;0;136;5;37.14;14.29;17.52;17.71;5.71;0.95;2.67;2.1;0.38;1.14;0.38;0;19.8;0.95
80020;80;Allonville;575;498;486;85;76;145;93;40;5;29;2;7;3;1;0;77;3;17.49;15.64;29.84;19.14;8.23;1.03;5.97;0.41;1.44;0.62;0.21;0;13.39;0.62
80021;80;Amiens;73509;54991;53797;9911;13377;15069;7841;1912;308;3743;514;599;422;101;0;18518;350;18.42;24.87;28.01;14.58;3.55;0.57;6.96;0.96;1.11;0.78;0.19;0;25.19;0.65
80022;80;Andainville;193;168;164;58;17;26;33;14;2;8;0;5;1;0;0;25;4;35.37;10.37;15.85;20.12;8.54;1.22;4.88;0;3.05;0.61;0;0;12.95;2.44
80023;80;Andechy;175;157;155;71;12;33;30;3;0;1;1;0;1;3;0;18;1;45.81;7.74;21.29;19.35;1.94;0;0.65;0.65;0;0.65;1.94;0;10.29;0.65
80024;80;Argoeuves;459;394;381;111;51;86;80;18;6;16;4;3;4;2;0;65;0;29.13;13.39;22.57;21;4.72;1.57;4.2;1.05;0.79;1.05;0.52;0;14.16;0
80025;80;Argoules;181;150;144;32;24;30;38;11;2;4;1;2;0;0;0;31;1;22.22;16.67;20.83;26.39;7.64;1.39;2.78;0.69;1.39;0;0;0;17.13;0.69
80026;80;Arguel;23;22;21;3;4;5;4;3;1;0;1;0;0;0;0;1;0;14.29;19.05;23.81;19.05;14.29;4.76;0;4.76;0;0;0;0;4.35;0
80027;80;Armancourt;24;22;22;5;0;5;6;4;0;2;0;0;0;0;0;2;0;22.73;0;22.73;27.27;18.18;0;9.09;0;0;0;0;0;8.33;0
80028;80;Arquèves;150;131;129;43;21;26;23;9;1;3;1;1;1;0;0;19;2;33.33;16.28;20.16;17.83;6.98;0.78;2.33;0.78;0.78;0.78;0;0;12.67;1.55
80029;80;Arrest;696;559;548;171;95;159;56;26;3;19;7;1;11;0;0;137;1;31.2;17.34;29.01;10.22;4.74;0.55;3.47;1.28;0.18;2.01;0;0;19.68;0.18
80030;80;Arry;140;123;121;48;14;20;25;6;1;2;0;4;0;1;0;17;1;39.67;11.57;16.53;20.66;4.96;0.83;1.65;0;3.31;0;0.83;0;12.14;0.83
80031;80;Arvillers;604;477;462;165;73;98;77;21;3;15;1;5;4;0;0;127;4;35.71;15.8;21.21;16.67;4.55;0.65;3.25;0.22;1.08;0.87;0;0;21.03;0.87
