COM,REG,DEP,ARR,TNCC,NCC,NCCENR,LIBELLE,CAN,NORM
97101,1,971,9712,4,ABYMES,Abymes,Les Abymes,97193,971LESABYMES
97102,1,971,9712,1,ANSE BERTRAND,Anse-Bertrand,Anse-Bertrand,97114,971ANSEBERTRAND
97103,1,971,9711,0,BAIE MAHAULT,Baie-Mahault,Baie-Mahault,97194,971BAIEMAHAULT
97104,1,971,9711,0,BAILLIF,Baillif,Baillif,97121,971BAILLIF
97105,1,971,9711,0,BASSE TERRE,Basse-Terre,Basse-Terre,97106,971BASSETERRE
97106,1,971,9711,0,BOUILLANTE,Bouillante,Bouillante,97195,971BOUILLANTE
97107,1,971,9711,0,CAPESTERRE BELLE EAU,Capesterre-Belle-Eau,Capesterre-Belle-Eau,97107,971CAPESTERREBELLEEAU
97108,1,971,9712,0,CAPESTERRE DE MARIE GALANTE,Capesterre-de-Marie-Galante,Capesterre-de-Marie-Galante,97110,971CAPESTERREDEMARIEGALANTE
97109,1,971,9711,0,GOURBEYRE,Gourbeyre,Gourbeyre,97120,971GOURBEYRE
97110,1,971,9712,3,DESIRADE,Désirade,La Désirade,97116,971LADESIRADE
97111,1,971,9711,0,DESHAIES,Deshaies,Deshaies,97118,971DESHAIES
97112,1,971,9712,0,GRAND BOURG,Grand-Bourg,Grand-Bourg,97110,971GRANDBOURG
97113,1,971,9712,2,GOSIER,Gosier,Le Gosier,97196,971LEGOSIER
97114,1,971,9711,0,GOYAVE,Goyave,Goyave,97113,971GOYAVE
97115,1,971,9711,0,LAMENTIN,Lamentin,Lamentin,97109,971LAMENTIN
97116,1,971,9712,0,MORNE A L EAU,Morne-à-l'Eau,Morne-à-l'Eau,97112,971MORNEALEAU
97117,1,971,9712,2,MOULE,Moule,Le Moule,97111,971LEMOULE
97118,1,971,9711,0,PETIT BOURG,Petit-Bourg,Petit-Bourg,97197,971PETITBOURG
97119,1,971,9712,0,PETIT CANAL,Petit-Canal,Petit-Canal,97114,971PETITCANAL
97120,1,971,9712,0,POINTE A PITRE,Pointe-à-Pitre,Pointe-à-Pitre,97115,971POINTEAPITRE
97121,1,971,9711,0,POINTE NOIRE,Pointe-Noire,Pointe-Noire,97118,971POINTENOIRE
97122,1,971,9712,0,PORT LOUIS,Port-Louis,Port-Louis,97114,971PORTLOUIS
97124,1,971,9711,0,SAINT CLAUDE,Saint-Claude,Saint-Claude,97106,971SAINTCLAUDE
97125,1,971,9712,0,SAINT FRANCOIS,Saint-François,Saint-François,97116,971SAINTFRANCOIS
97126,1,971,9712,0,SAINT LOUIS,Saint-Louis,Saint-Louis,97110,971SAINTLOUIS
97128,1,971,9712,0,SAINTE ANNE,Sainte-Anne,Sainte-Anne,97198,971SAINTEANNE
97129,1,971,9711,0,SAINTE ROSE,Sainte-Rose,Sainte-Rose,97199,971SAINTEROSE
97130,1,971,9711,0,TERRE DE BAS,Terre-de-Bas,Terre-de-Bas,97120,971TERREDEBAS
97131,1,971,9711,0,TERRE DE HAUT,Terre-de-Haut,Terre-de-Haut,97120,971TERREDEHAUT
97132,1,971,9711,0,TROIS RIVIERES,Trois-Rivières,Trois-Rivières,97120,971TROISRIVIERES
97133,1,971,9711,0,VIEUX FORT,Vieux-Fort,Vieux-Fort,97120,971VIEUXFORT
97134,1,971,9711,0,VIEUX HABITANTS,Vieux-Habitants,Vieux-Habitants,97121,971VIEUXHABITANTS
