insee;dep;nom;nb_inscrits;nb_votants;nb_exprimes;nb_voix1;nb_voix2;nb_voix3;nb_voix4;nb_voix5;nb_voix6;nb_voix7;nb_voix8;nb_voix9;nb_voix10;nb_voix11;nb_voix12;nb_voix13;nb_voix14;voix_1;voix_2;voix_3;voix_4;voix_5;voix_6;voix_7;voix_8;voix_9;voix_10;voix_11;voix_12;voix_13;voix_14
ZA101;ZA;Les Abymes;38243;15686;13433;1836;3350;4515;1431;217;76;1190;149;333;278;58;0;22557;1477;13.67;24.94;33.61;10.65;1.62;0.57;8.86;1.11;2.48;2.07;0.43;0;58.98;11
ZA102;ZA;Anse-Bertrand;4987;1277;1146;146;248;375;214;12;3;97;11;17;20;3;0;3710;71;12.74;21.64;32.72;18.67;1.05;0.26;8.46;0.96;1.48;1.75;0.26;0;74.39;6.2
ZA103;ZA;Baie-Mahault;22074;10632;9669;1094;2302;3305;1494;186;66;741;153;175;125;28;0;11442;485;11.31;23.81;34.18;15.45;1.92;0.68;7.66;1.58;1.81;1.29;0.29;0;51.83;5.02
ZA104;ZA;Baillif;4842;1890;1645;252;329;412;274;29;11;257;12;29;35;5;0;2952;145;15.32;20;25.05;16.66;1.76;0.67;15.62;0.73;1.76;2.13;0.3;0;60.97;8.81
ZA105;ZA;Basse-Terre;9712;3942;3410;375;863;883;596;68;27;389;48;90;58;13;0;5770;323;11;25.31;25.89;17.48;1.99;0.79;11.41;1.41;2.64;1.7;0.38;0;59.41;9.47
ZA106;ZA;Bouillante;6458;2038;1795;186;443;430;410;24;10;209;22;31;26;4;0;4420;139;10.36;24.68;23.96;22.84;1.34;0.56;11.64;1.23;1.73;1.45;0.22;0;68.44;7.74
ZA107;ZA;Capesterre-Belle-Eau;15411;5796;5106;910;1125;1446;648;74;25;500;55;127;182;14;0;9615;424;17.82;22.03;28.32;12.69;1.45;0.49;9.79;1.08;2.49;3.56;0.27;0;62.39;8.3
ZA108;ZA;Capesterre-de-Marie-Galante;3344;815;713;96;111;261;142;6;1;68;5;12;9;2;0;2529;71;13.46;15.57;36.61;19.92;0.84;0.14;9.54;0.7;1.68;1.26;0.28;0;75.63;9.96
ZA109;ZA;Gourbeyre;5420;2318;2019;215;500;544;340;49;11;238;23;41;50;8;0;3102;181;10.65;24.76;26.94;16.84;2.43;0.54;11.79;1.14;2.03;2.48;0.4;0;57.23;8.96
ZA110;ZA;La Désirade;1612;477;451;101;106;83;79;6;8;27;21;8;11;1;0;1135;11;22.39;23.5;18.4;17.52;1.33;1.77;5.99;4.66;1.77;2.44;0.22;0;70.41;2.44
