insee;dep;nom;nb_inscrits;nb_votants;nb_exprimes;nb_voix1;nb_voix2;nb_voix3;nb_voix4;nb_voix5;nb_voix6;nb_voix7;nb_voix8;nb_voix9;nb_voix10;nb_voix11;nb_voix12;nb_voix13;nb_voix14;voix_1;voix_2;voix_3;voix_4;voix_5;voix_6;voix_7;voix_8;voix_9;voix_10;voix_11;voix_12;voix_13;voix_14
ZB201;ZB;L'Ajoupa-Bouillon;1541;547;259;47;60;65;51;5;1;17;1;7;5;0;0;994;271;18.15;23.17;25.1;19.69;1.93;0.39;6.56;0.39;2.7;1.93;0;0;64.5;104.63
ZB202;ZB;Les Anses-d'Arlet;3550;1192;1085;77;360;260;180;28;5;93;23;35;21;3;0;2358;62;7.1;33.18;23.96;16.59;2.58;0.46;8.57;2.12;3.23;1.94;0.28;0;66.42;5.71
ZB203;ZB;Basse-Pointe;3448;1213;1029;157;206;260;189;17;10;128;8;25;25;4;0;2235;70;15.26;20.02;25.27;18.37;1.65;0.97;12.44;0.78;2.43;2.43;0.39;0;64.82;6.8
ZB204;ZB;Le Carbet;2992;1356;1252;113;359;342;213;17;13;115;13;32;30;5;0;1636;42;9.03;28.67;27.32;17.01;1.36;1.04;9.19;1.04;2.56;2.4;0.4;0;54.68;3.35
ZB205;ZB;Case-Pilote;3309;1727;1579;117;409;397;378;37;17;131;23;37;30;3;0;1582;63;7.41;25.9;25.14;23.94;2.34;1.08;8.3;1.46;2.34;1.9;0.19;0;47.81;3.99
ZB206;ZB;Le Diamant;5252;2115;1962;218;575;531;314;49;17;155;39;35;25;4;0;3137;90;11.11;29.31;27.06;16;2.5;0.87;7.9;1.99;1.78;1.27;0.2;0;59.73;4.59
ZB207;ZB;Ducos;12699;5504;4911;503;1542;1223;723;124;35;428;72;148;99;14;0;7195;303;10.24;31.4;24.9;14.72;2.52;0.71;8.72;1.47;3.01;2.02;0.29;0;56.66;6.17
ZB208;ZB;Fonds-Saint-Denis;758;236;219;32;46;46;73;2;1;10;3;2;4;0;0;522;7;14.61;21;21;33.33;0.91;0.46;4.57;1.37;0.91;1.83;0;0;68.87;3.2
ZB209;ZB;Fort-de-France;65881;26410;23474;2215;6454;5924;3563;446;193;3108;319;710;460;82;0;39471;1153;9.44;27.49;25.24;15.18;1.9;0.82;13.24;1.36;3.02;1.96;0.35;0;59.91;4.91
ZB210;ZB;Le François;16357;6277;5481;614;1345;1295;1324;87;28;428;70;167;109;14;0;10080;371;11.2;24.54;23.63;24.16;1.59;0.51;7.81;1.28;3.05;1.99;0.26;0;61.62;6.77
