insee;dep;nom;nb_inscrits;nb_votants;nb_exprimes;nb_voix1;nb_voix2;nb_voix3;nb_voix4;nb_voix5;nb_voix6;nb_voix7;nb_voix8;nb_voix9;nb_voix10;nb_voix11;nb_voix12;nb_voix13;nb_voix14;voix_1;voix_2;voix_3;voix_4;voix_5;voix_6;voix_7;voix_8;voix_9;voix_10;voix_11;voix_12;voix_13;voix_14
ZD401;ZD;Les Avirons;8727;5793;5472;1181;1552;1070;897;201;33;321;94;48;61;14;0;2934;131;21.58;28.36;19.55;16.39;3.67;0.6;5.87;1.72;0.88;1.11;0.26;0;33.62;2.39
ZD402;ZD;Bras-Panon;9405;5527;5204;1294;1351;907;989;185;23;244;73;54;73;11;0;3878;179;24.87;25.96;17.43;19;3.55;0.44;4.69;1.4;1.04;1.4;0.21;0;41.23;3.44
ZD403;ZD;Entre-Deux;5558;3667;3433;945;923;588;498;108;28;172;77;43;45;6;0;1891;124;27.53;26.89;17.13;14.51;3.15;0.82;5.01;2.24;1.25;1.31;0.17;0;34.02;3.61
ZD404;ZD;L'Etang-Salé;11685;8176;7609;1878;1974;1394;1221;283;62;473;120;79;107;18;0;3509;287;24.68;25.94;18.32;16.05;3.72;0.81;6.22;1.58;1.04;1.41;0.24;0;30.03;3.77
ZD405;ZD;Petite-Ile;10284;6195;5748;1606;1583;982;666;229;30;410;100;58;75;9;0;4089;258;27.94;27.54;17.08;11.59;3.98;0.52;7.13;1.74;1.01;1.3;0.16;0;39.76;4.49
ZD406;ZD;La Plaine-des-Palmistes;4707;2928;2747;889;592;357;532;98;17;152;33;32;39;6;0;1779;117;32.36;21.55;13;19.37;3.57;0.62;5.53;1.2;1.16;1.42;0.22;0;37.79;4.26
ZD407;ZD;Le Port;25069;13457;12333;2659;4690;2000;1513;218;52;638;148;171;209;35;0;11612;581;21.56;38.03;16.22;12.27;1.77;0.42;5.17;1.2;1.39;1.69;0.28;0;46.32;4.71
ZD408;ZD;La Possession;22779;13169;12466;2432;4127;2410;1712;394;80;684;250;167;175;35;0;9610;357;19.51;33.11;19.33;13.73;3.16;0.64;5.49;2.01;1.34;1.4;0.28;0;42.19;2.86
ZD409;ZD;Saint-André;37525;19560;18398;5154;4392;3327;3051;512;93;980;321;224;306;38;0;17965;642;28.01;23.87;18.08;16.58;2.78;0.51;5.33;1.74;1.22;1.66;0.21;0;47.87;3.49
ZD410;ZD;Saint-Benoît;27411;14580;13709;3741;3236;2628;1808;303;67;1230;175;178;305;38;0;12831;486;27.29;23.6;19.17;13.19;2.21;0.49;8.97;1.28;1.3;2.22;0.28;0;46.81;3.55
ZD411;ZD;Saint-Denis;101317;61941;58863;13000;12467;13959;10700;1625;312;4333;1012;655;666;134;0;39376;1516;22.09;21.18;23.71;18.18;2.76;0.53;7.36;1.72;1.11;1.13;0.23;0;38.86;2.58
ZD412;ZD;Saint-Joseph;29750;21018;19728;4855;3547;1869;1909;487;77;6123;267;261;286;47;0;8732;760;24.61;17.98;9.47;9.68;2.47;0.39;31.04;1.35;1.32;1.45;0.24;0;29.35;3.85
ZD413;ZD;Saint-Leu;26695;16389;15371;2710;4144;4512;2062;393;86;794;244;194;197;35;0;10306;561;17.63;26.96;29.35;13.41;2.56;0.56;5.17;1.59;1.26;1.28;0.23;0;38.61;3.65
ZD414;ZD;Saint-Louis;41191;19238;17980;5279;4730;2809;2692;522;75;1106;320;195;205;47;0;21953;780;29.36;26.31;15.62;14.97;2.9;0.42;6.15;1.78;1.08;1.14;0.26;0;53.3;4.34
ZD415;ZD;Saint-Paul;80116;45444;42064;7603;11231;8340;8749;1265;268;2500;831;532;612;133;0;34672;1809;18.07;26.7;19.83;20.8;3.01;0.64;5.94;1.98;1.26;1.45;0.32;0;43.28;4.3
ZD416;ZD;Saint-Pierre;64729;39849;36994;7230;8920;6303;9643;1018;218;1943;652;474;486;107;0;24880;1582;19.54;24.11;17.04;26.07;2.75;0.59;5.25;1.76;1.28;1.31;0.29;0;38.44;4.28
ZD417;ZD;Saint-Philippe;4721;2467;2276;648;468;348;390;41;5;246;47;35;43;5;0;2254;129;28.47;20.56;15.29;17.14;1.8;0.22;10.81;2.07;1.54;1.89;0.22;0;47.74;5.67
ZD418;ZD;Sainte-Marie;24391;14172;13402;3539;2790;2591;2567;429;70;866;195;149;168;38;0;10219;380;26.41;20.82;19.33;19.15;3.2;0.52;6.46;1.46;1.11;1.25;0.28;0;41.9;2.84
ZD419;ZD;Sainte-Rose;6226;3306;3129;851;540;910;434;57;6;186;40;36;63;6;0;2920;101;27.2;17.26;29.08;13.87;1.82;0.19;5.94;1.28;1.15;2.01;0.19;0;46.9;3.23
ZD420;ZD;Sainte-Suzanne;17472;9370;8829;2313;2710;1435;1235;223;47;425;128;120;162;31;0;8102;309;26.2;30.69;16.25;13.99;2.53;0.53;4.81;1.45;1.36;1.83;0.35;0;46.37;3.5
ZD421;ZD;Salazie;5912;3099;2883;762;472;582;596;75;20;218;47;31;70;10;0;2813;121;26.43;16.37;20.19;20.67;2.6;0.69;7.56;1.63;1.08;2.43;0.35;0;47.58;4.2
ZD422;ZD;Le Tampon;62698;39895;36323;10401;8212;5859;5604;1317;248;2510;757;580;715;120;0;22803;1810;28.63;22.61;16.13;15.43;3.63;0.68;6.91;2.08;1.6;1.97;0.33;0;36.37;4.98
ZD423;ZD;Les Trois-Bassins;6132;3447;3155;677;756;720;553;80;16;173;48;46;68;18;0;2685;149;21.46;23.96;22.82;17.53;2.54;0.51;5.48;1.52;1.46;2.16;0.57;0;43.79;4.72
ZD424;ZD;Cilaos;4981;2565;2364;572;580;392;487;60;6;145;50;15;54;3;0;2416;135;24.2;24.53;16.58;20.6;2.54;0.25;6.13;2.12;0.63;2.28;0.13;0;48.5;5.71
