insee;dep;nom;nb_inscrits;nb_votants;nb_exprimes;nb_voix1;nb_voix2;nb_voix3;nb_voix4;nb_voix5;nb_voix6;nb_voix7;nb_voix8;nb_voix9;nb_voix10;nb_voix11;nb_voix12;nb_voix13;nb_voix14;voix_1;voix_2;voix_3;voix_4;voix_5;voix_6;voix_7;voix_8;voix_9;voix_10;voix_11;voix_12;voix_13;voix_14
ZN801;ZN;Belep;906;212;208;9;6;26;28;6;3;118;4;1;4;3;0;694;4;4.33;2.88;12.5;13.46;2.88;1.44;56.73;1.92;0.48;1.92;1.44;0;76.6;1.92
ZN802;ZN;Boulouparis;2775;1652;1591;729;71;135;507;31;13;55;26;14;9;1;0;1123;15;45.82;4.46;8.49;31.87;1.95;0.82;3.46;1.63;0.88;0.57;0.06;0;40.47;0.94
ZN803;ZN;Bourail;4169;2308;2208;893;154;240;628;33;24;109;60;41;18;8;0;1861;46;40.44;6.97;10.87;28.44;1.49;1.09;4.94;2.72;1.86;0.82;0.36;0;44.64;2.08
ZN804;ZN;Canala;3287;680;611;34;57;76;127;17;6;259;3;16;14;2;0;2607;39;5.56;9.33;12.44;20.79;2.78;0.98;42.39;0.49;2.62;2.29;0.33;0;79.31;6.38
ZN805;ZN;Dumbéa;17511;10753;10207;3460;866;1200;3316;306;67;448;266;159;88;31;0;6758;141;33.9;8.48;11.76;32.49;3;0.66;4.39;2.61;1.56;0.86;0.3;0;38.59;1.38
ZN806;ZN;Farino;591;418;400;182;23;42;113;14;3;6;9;6;2;0;0;173;8;45.5;5.75;10.5;28.25;3.5;0.75;1.5;2.25;1.5;0.5;0;0;29.27;2
ZN807;ZN;Hienghène;2309;725;714;37;49;67;71;19;5;424;12;22;4;4;0;1584;8;5.18;6.86;9.38;9.94;2.66;0.7;59.38;1.68;3.08;0.56;0.56;0;68.6;1.12
ZN808;ZN;Houailou;3453;782;684;79;66;123;132;15;6;207;10;20;20;6;0;2671;36;11.55;9.65;17.98;19.3;2.19;0.88;30.26;1.46;2.92;2.92;0.88;0;77.35;5.26
ZN809;ZN;Ile des Pins;1674;411;397;31;30;50;205;4;1;63;5;2;3;3;0;1263;7;7.81;7.56;12.59;51.64;1.01;0.25;15.87;1.26;0.5;0.76;0.76;0;75.45;1.76
ZN810;ZN;Kaala-Gomen;1537;325;313;89;17;37;59;5;1;80;5;10;10;0;0;1212;4;28.43;5.43;11.82;18.85;1.6;0.32;25.56;1.6;3.19;3.19;0;0;78.85;1.28
ZN811;ZN;Koné;4249;1783;1698;380;135;202;339;33;6;518;27;29;25;4;0;2466;36;22.38;7.95;11.9;19.96;1.94;0.35;30.51;1.59;1.71;1.47;0.24;0;58.04;2.12
ZN812;ZN;Koumac;2872;1446;1380;603;106;111;366;32;15;101;13;19;8;6;0;1426;42;43.7;7.68;8.04;26.52;2.32;1.09;7.32;0.94;1.38;0.58;0.43;0;49.65;3.04
ZN813;ZN;La Foa;3098;1866;1752;672;90;183;497;47;18;159;47;20;15;4;0;1232;48;38.36;5.14;10.45;28.37;2.68;1.03;9.08;2.68;1.14;0.86;0.23;0;39.77;2.74
ZN814;ZN;Lifou;10376;1467;1400;104;183;229;328;25;14;428;12;41;31;5;0;8909;42;7.43;13.07;16.36;23.43;1.79;1;30.57;0.86;2.93;2.21;0.36;0;85.86;3
ZN815;ZN;Maré;6376;575;567;48;96;86;79;15;3;205;7;9;19;0;0;5801;2;8.47;16.93;15.17;13.93;2.65;0.53;36.16;1.23;1.59;3.35;0;0;90.98;0.35
ZN816;ZN;Moindou;751;430;418;148;28;47;110;7;4;55;6;5;6;2;0;321;4;35.41;6.7;11.24;26.32;1.67;0.96;13.16;1.44;1.2;1.44;0.48;0;42.74;0.96
ZN817;ZN;Mont-Dore;18938;10873;10205;3417;939;1194;3285;304;71;408;284;179;101;23;0;8065;202;33.48;9.2;11.7;32.19;2.98;0.7;4;2.78;1.75;0.99;0.23;0;42.59;1.98
ZN818;ZN;Nouméa;62240;39179;37653;10373;3658;5378;13194;1253;328;1635;1040;435;273;86;0;23061;326;27.55;9.72;14.28;35.04;3.33;0.87;4.34;2.76;1.16;0.73;0.23;0;37.05;0.87
ZN819;ZN;Ouégoa;2088;534;518;264;24;20;74;8;5;108;5;6;3;1;0;1554;8;50.97;4.63;3.86;14.29;1.54;0.97;20.85;0.97;1.16;0.58;0.19;0;74.43;1.54
ZN820;ZN;Ouvéa;4278;427;410;26;36;49;72;4;4;191;10;8;9;1;0;3851;7;6.34;8.78;11.95;17.56;0.98;0.98;46.59;2.44;1.95;2.2;0.24;0;90.02;1.71
ZN821;ZN;Païta;12532;7373;6976;2487;481;818;2246;217;49;332;159;105;67;15;0;5159;127;35.65;6.9;11.73;32.2;3.11;0.7;4.76;2.28;1.51;0.96;0.22;0;41.17;1.82
ZN822;ZN;Poindimié;4082;1315;1247;138;168;136;203;28;9;484;26;31;15;9;0;2767;31;11.07;13.47;10.91;16.28;2.25;0.72;38.81;2.09;2.49;1.2;0.72;0;67.79;2.49
ZN823;ZN;Ponérihouen;2556;633;603;64;59;56;84;10;4;297;7;10;8;4;0;1923;15;10.61;9.78;9.29;13.93;1.66;0.66;49.25;1.16;1.66;1.33;0.66;0;75.23;2.49
ZN824;ZN;Pouébo;2236;449;423;35;40;57;43;7;1;210;7;12;11;0;0;1787;11;8.27;9.46;13.48;10.17;1.65;0.24;49.65;1.65;2.84;2.6;0;0;79.92;2.6
ZN825;ZN;Pouembout;1475;733;696;252;93;79;144;17;5;75;10;16;3;2;0;742;11;36.21;13.36;11.35;20.69;2.44;0.72;10.78;1.44;2.3;0.43;0.29;0;50.31;1.58
ZN826;ZN;Poum;1372;252;244;34;15;23;45;0;2;112;3;5;3;2;0;1120;3;13.93;6.15;9.43;18.44;0;0.82;45.9;1.23;2.05;1.23;0.82;0;81.63;1.23
ZN827;ZN;Poya;2289;808;751;245;39;84;199;17;3;123;5;16;17;3;0;1481;23;32.62;5.19;11.19;26.5;2.26;0.4;16.38;0.67;2.13;2.26;0.4;0;64.7;3.06
