insee;dep;nom;nb_inscrits;nb_votants;nb_exprimes;nb_voix1;nb_voix2;nb_voix3;nb_voix4;nb_voix5;nb_voix6;nb_voix7;nb_voix8;nb_voix9;nb_voix10;nb_voix11;nb_voix12;nb_voix13;nb_voix14;voix_1;voix_2;voix_3;voix_4;voix_5;voix_6;voix_7;voix_8;voix_9;voix_10;voix_11;voix_12;voix_13;voix_14
ZP011;ZP;Anaa;663;181;164;56;7;14;55;7;0;22;0;1;2;0;0;482;1;34.15;4.27;8.54;33.54;4.27;0;13.41;0;0.61;1.22;0;0;72.7;0.61
ZP012;ZP;Arue;7591;3282;3143;971;339;592;840;113;22;131;64;28;33;10;0;4309;49;30.89;10.79;18.84;26.73;3.6;0.7;4.17;2.04;0.89;1.05;0.32;0;56.76;1.56
ZP013;ZP;Arutua;1522;566;523;154;20;49;272;13;2;3;4;1;5;0;0;956;13;29.45;3.82;9.37;52.01;2.49;0.38;0.57;0.76;0.19;0.96;0;0;62.81;2.49
ZP014;ZP;Bora-Bora;6737;2227;2137;587;137;182;1059;49;9;56;12;29;13;4;0;4510;44;27.47;6.41;8.52;49.56;2.29;0.42;2.62;0.56;1.36;0.61;0.19;0;66.94;2.06
ZP015;ZP;Faa a;19063;4986;4701;1481;467;785;1401;144;28;183;94;48;49;21;0;14077;85;31.5;9.93;16.7;29.8;3.06;0.6;3.89;2;1.02;1.04;0.45;0;73.84;1.81
ZP016;ZP;Fakarava;1318;574;542;210;26;60;188;19;6;8;6;10;7;2;0;744;26;38.75;4.8;11.07;34.69;3.51;1.11;1.48;1.11;1.85;1.29;0.37;0;56.45;4.8
ZP017;ZP;Fangatau;258;123;109;46;6;22;25;6;0;2;0;2;0;0;0;135;7;42.2;5.5;20.18;22.94;5.5;0;1.83;0;1.83;0;0;0;52.33;6.42
ZP018;ZP;Fatu-Hiva;552;288;283;69;13;20;162;8;1;6;0;2;1;1;0;264;4;24.38;4.59;7.07;57.24;2.83;0.35;2.12;0;0.71;0.35;0.35;0;47.83;1.41
ZP019;ZP;Gambier;845;284;271;105;6;26;106;10;0;9;2;4;3;0;0;561;4;38.75;2.21;9.59;39.11;3.69;0;3.32;0.74;1.48;1.11;0;0;66.39;1.48
ZP020;ZP;Hao;1274;531;505;159;27;48;232;5;2;16;1;8;7;0;0;743;26;31.49;5.35;9.5;45.94;0.99;0.4;3.17;0.2;1.58;1.39;0;0;58.32;5.15
ZP021;ZP;Hikueru;181;67;64;26;0;0;33;0;0;0;0;5;0;0;0;114;2;40.63;0;0;51.56;0;0;0;0;7.81;0;0;0;62.98;3.13
ZP022;ZP;Hitiaa O Te Ra;7891;2745;2620;965;153;199;1139;38;7;45;14;24;28;8;0;5146;52;36.83;5.84;7.6;43.47;1.45;0.27;1.72;0.53;0.92;1.07;0.31;0;65.21;1.98
ZP023;ZP;Hiva-Oa;1888;733;705;316;38;55;231;13;9;14;12;9;4;4;0;1155;26;44.82;5.39;7.8;32.77;1.84;1.28;1.99;1.7;1.28;0.57;0.57;0;61.18;3.69
ZP024;ZP;Huahine;5126;1651;1583;244;74;147;1003;35;6;31;13;16;12;2;0;3475;68;15.41;4.67;9.29;63.36;2.21;0.38;1.96;0.82;1.01;0.76;0.13;0;67.79;4.3
ZP025;ZP;Mahina;11789;4386;4205;1172;480;715;1369;113;30;147;68;51;45;15;0;7403;89;27.87;11.41;17;32.56;2.69;0.71;3.5;1.62;1.21;1.07;0.36;0;62.8;2.12
ZP026;ZP;Makemo;1226;690;664;273;12;18;321;11;1;13;7;8;0;0;0;536;18;41.11;1.81;2.71;48.34;1.66;0.15;1.96;1.05;1.2;0;0;0;43.72;2.71
ZP027;ZP;Manihi;987;444;438;173;12;44;194;2;0;4;0;2;7;0;0;543;4;39.5;2.74;10.05;44.29;0.46;0;0.91;0;0.46;1.6;0;0;55.02;0.91
ZP028;ZP;Maupiti;993;689;662;301;12;23;312;3;2;6;1;1;1;0;0;304;16;45.47;1.81;3.47;47.13;0.45;0.3;0.91;0.15;0.15;0.15;0;0;30.61;2.42
ZP029;ZP;Moorea-Maiao;13121;4850;4599;1888;387;526;1411;83;29;149;48;49;21;8;0;8271;104;41.05;8.41;11.44;30.68;1.8;0.63;3.24;1.04;1.07;0.46;0.17;0;63.04;2.26
ZP030;ZP;Napuka;272;111;96;64;3;2;20;6;0;0;0;0;0;1;0;161;11;66.67;3.13;2.08;20.83;6.25;0;0;0;0;0;1.04;0;59.19;11.46
ZP031;ZP;Nuku-Hiva;2249;1087;1038;284;88;135;420;17;6;43;13;13;18;1;0;1162;25;27.36;8.48;13.01;40.46;1.64;0.58;4.14;1.25;1.25;1.73;0.1;0;51.67;2.41
ZP032;ZP;Nukutavake;291;139;135;69;5;11;38;0;0;5;1;5;1;0;0;152;2;51.11;3.7;8.15;28.15;0;0;3.7;0.74;3.7;0.74;0;0;52.23;1.48
ZP033;ZP;Paea;9083;3754;3542;880;260;1350;705;90;24;67;73;38;41;14;0;5329;123;24.84;7.34;38.11;19.9;2.54;0.68;1.89;2.06;1.07;1.16;0.4;0;58.67;3.47
ZP034;ZP;Papara;8522;2697;2549;721;223;417;938;63;14;68;37;31;30;7;0;5825;73;28.29;8.75;16.36;36.8;2.47;0.55;2.67;1.45;1.22;1.18;0.27;0;68.35;2.86
ZP035;ZP;Papeete;19339;7890;7442;2032;650;1426;2511;181;57;271;144;81;64;25;0;11449;247;27.3;8.73;19.16;33.74;2.43;0.77;3.64;1.93;1.09;0.86;0.34;0;59.2;3.32
ZP036;ZP;Pirae;11063;4991;4737;1291;417;704;1837;124;36;149;71;48;43;17;0;6072;123;27.25;8.8;14.86;38.78;2.62;0.76;3.15;1.5;1.01;0.91;0.36;0;54.89;2.6
ZP037;ZP;Puka Puka;146;81;78;45;3;2;26;1;0;1;0;0;0;0;0;65;1;57.69;3.85;2.56;33.33;1.28;0;1.28;0;0;0;0;0;44.52;1.28
ZP038;ZP;Punaauia;17842;8764;8421;2234;953;1561;2615;237;89;319;251;75;73;14;0;9078;110;26.53;11.32;18.54;31.05;2.81;1.06;3.79;2.98;0.89;0.87;0.17;0;50.88;1.31
ZP039;ZP;Raivavae;902;409;360;135;9;42;117;12;2;12;16;6;6;3;0;493;29;37.5;2.5;11.67;32.5;3.33;0.56;3.33;4.44;1.67;1.67;0.83;0;54.66;8.06
ZP040;ZP;Rangiroa;2815;1061;1003;365;54;91;412;23;3;20;14;4;15;2;0;1754;38;36.39;5.38;9.07;41.08;2.29;0.3;1.99;1.4;0.4;1.5;0.2;0;62.31;3.79
ZP041;ZP;Rapa;426;306;303;213;0;7;79;1;0;0;2;0;1;0;0;120;1;70.3;0;2.31;26.07;0.33;0;0;0.66;0;0.33;0;0;28.17;0.33
ZP042;ZP;Reao;487;277;258;149;3;5;69;3;0;0;18;5;3;3;0;210;3;57.75;1.16;1.94;26.74;1.16;0;0;6.98;1.94;1.16;1.16;0;43.12;1.16
ZP043;ZP;Rimatara;685;400;377;134;8;13;199;4;1;9;2;3;4;0;0;285;5;35.54;2.12;3.45;52.79;1.06;0.27;2.39;0.53;0.8;1.06;0;0;41.61;1.33
ZP044;ZP;Rurutu;1986;1280;1252;395;24;55;727;19;0;5;10;10;6;1;0;706;10;31.55;1.92;4.39;58.07;1.52;0;0.4;0.8;0.8;0.48;0.08;0;35.55;0.8
ZP045;ZP;Tahaa;4637;1446;1329;649;71;161;322;33;3;30;19;8;24;9;0;3191;56;48.83;5.34;12.11;24.23;2.48;0.23;2.26;1.43;0.6;1.81;0.68;0;68.82;4.21
ZP046;ZP;Tahuata;602;271;265;151;6;23;76;2;1;1;1;1;3;0;0;331;6;56.98;2.26;8.68;28.68;0.75;0.38;0.38;0.38;0.38;1.13;0;0;54.98;2.26
ZP047;ZP;Taiarapu-Est;10284;3020;2891;1110;224;439;833;57;12;106;50;28;30;2;0;7264;50;38.4;7.75;15.19;28.81;1.97;0.42;3.67;1.73;0.97;1.04;0.07;0;70.63;1.73
ZP048;ZP;Taiarapu-Ouest;6183;1958;1859;834;134;278;455;41;7;58;18;14;15;5;0;4225;43;44.86;7.21;14.95;24.48;2.21;0.38;3.12;0.97;0.75;0.81;0.27;0;68.33;2.31
ZP049;ZP;Takaroa;1297;693;656;190;32;29;375;10;6;8;1;2;3;0;0;604;10;28.96;4.88;4.42;57.16;1.52;0.91;1.22;0.15;0.3;0.46;0;0;46.57;1.52
ZP050;ZP;Taputapuatea;3841;1815;1724;686;146;180;561;42;8;42;23;18;15;3;0;2026;64;39.79;8.47;10.44;32.54;2.44;0.46;2.44;1.33;1.04;0.87;0.17;0;52.75;3.71
ZP051;ZP;Tatakoto;205;117;115;86;5;4;12;2;0;2;0;3;1;0;0;88;1;74.78;4.35;3.48;10.43;1.74;0;1.74;0;2.61;0.87;0;0;42.93;0.87
ZP052;ZP;Teva I Uta;7252;2360;2258;965;158;284;690;34;6;50;21;23;19;8;0;4892;80;42.74;7;12.58;30.56;1.51;0.27;2.21;0.93;1.02;0.84;0.35;0;67.46;3.54
ZP053;ZP;Tubuai;1637;880;832;384;29;45;306;14;2;18;23;8;2;1;0;757;22;46.15;3.49;5.41;36.78;1.68;0.24;2.16;2.76;0.96;0.24;0.12;0;46.24;2.64
ZP054;ZP;Tumaraa;3107;1518;1476;448;57;99;782;26;4;32;12;8;5;3;0;1589;32;30.35;3.86;6.71;52.98;1.76;0.27;2.17;0.81;0.54;0.34;0.2;0;51.14;2.17
ZP055;ZP;Tureia;237;90;84;29;5;1;43;1;0;2;0;0;2;1;0;147;2;34.52;5.95;1.19;51.19;1.19;0;2.38;0;0;2.38;1.19;0;62.03;2.38
ZP056;ZP;Ua-Huka;525;348;341;36;2;8;286;3;1;3;1;0;1;0;0;177;6;10.56;0.59;2.35;83.87;0.88;0.29;0.88;0.29;0;0.29;0;0;33.71;1.76
ZP057;ZP;Ua-Pou;1562;726;708;249;49;59;272;18;2;12;16;12;16;3;0;836;13;35.17;6.92;8.33;38.42;2.54;0.28;1.69;2.26;1.69;2.26;0.42;0;53.52;1.84
ZP058;ZP;Uturoa;3438;1627;1575;580;118;163;600;31;9;25;23;13;10;3;0;1811;38;36.83;7.49;10.35;38.1;1.97;0.57;1.59;1.46;0.83;0.63;0.19;0;52.68;2.41
